description,unit,rate
`T' or `L' iron or pipe.,Each,231.0
R.C.C..,Each,243.0
Cutting ballies or wooden posts of fencing.,Each,13.0
Dismantling barbed wire in fencing.,One Kilogram,37.0
Dismantling wooden trellis work excluding frames.,One Square Metre,65.0
Dismantling expanded metal.,One Square Metre,76.0
Upto 10 mm thick.,One Square Metre,61.0
Above 10 to 25 mm thick.,One Square Metre,78.0
Above 25 to 40 mm thick.,One Square Metre,90.0
Thickness upto 40 mm.,One Square Metre,289.0
Thickness above 40 mm upto 75 mm.,One Square Metre,434.0
"Dismantling cement asbestors, ceiling or partition.",One Square Metre,56.0
75 to 80 mm dia. pipe.,One Running Metre,76.0
100 mm dia. pipe.,One Running Metre,78.0
150 mm dia. pipe.,One Running Metre,80.0
Water bound macadam road.,One Square Metre,217.0
Bituminous road.,One Square Metre,429.0
15 to 40 mm nominal bore.,One Running Metre,150.0
Above 40 mm nominal bore,One Running Metre,161.0
Upto 150 mm diameter.,One Running Metre,332.0
Above 150 mm dia upto 300 mm dia.,One Running Metre,457.0
Above 300 mm diameter.,One Running Metre,614.0
Upto 600 mm diameter.,One Running Metre,695.0
Above 600 mm diameter.,One Running Metre,1752.0
Upto 150 mm diameter.,One Running Metre,332.0
Above 150 mm diameter.,One Running Metre,403.0
Taking out CI cover with frame from RCC top slab of manholes of various sizes.,Each,697.0
Taking out CI cover with frame from R.C.C. top slab of inspe- ction chambers.,Each,407.0
Dismantling of R.C.C spun vent shaft.,Each,4624.0
Dismantling of road gully chambers of various sizes i/c CI grating with frame.,Each,959.0
Dismantling flushing cistern of any size.,Each,112.0
Up to 150 mm diameter,Each,320.0
Above 150 mm diameter.,Each,1184.0
Dismantling of spindle fire hydrant.,Each,726.0
120 x 120 cm (outside to outside).,Each,1104.0
210 x 120 cm (outside to outside).,Each,1693.0
320 x 120 cm (outside to outside),Each,2397.0
Dismantling old plaster or skirting raking out joints.,One Square Metre,55.0
Dismantling aluminium/Gypsum partitions etc.,One Square Metre,56.0
Demolishing R.C.C work by mechanical means and stockpiling at designated locations.,One Cubic Metre,2819.0
Dismantling of flexible pavement (Bitumenous courses) by mechanical.,One Cubic Metre,421.0
Disposal of building rubbish /malba /similar unserviceable materials.,One Cubic Metre,264.0
Preparation of sub grade and consolidating with road roller.,One Square Metre,219.0
Extra for compaction of earth work in embankment under opti- mum moisture conditions.,One Cubic Metre,25.0
90mm to 45mm size stone aggregate.,One Cubic Metre,2098.0
63mm to 45mm size stone aggregate.,One Cubic Metre,1636.0
53mm to 22.4mm size stone aggregate.,One Cubic Metre,1842.0
Over burnt (Jhama) brick agg. 120 mm to 40 mm.,One Cubic Metre,798.0
Over burnt (Jhama) brick agg. 90 mm to 45 mm.,One Cubic Metre,872.0
Stone screening 13.2 mm nominal size (Type A).,One Cubic Metre,2034.0
Stone screening 11.2 mm nominal size (Type B).,One Cubic Metre,2248.0
Red bajri.,One Cubic Metre,1565.0
Good earth.,One Cubic Metre,776.0
Moorum.,One Cubic Metre,768.0
"Laying sprading and compacting stone aggregate of specified sizes to water bound macadam specifications i/c spreading in uniform thickness, rolling road roller 8 - 10 tonne.",One Cubic Metre,1047.0
Over burnt (Jhama) brick agg. 120 mm to 40 mm.,One Cubic Metre,880.0
Over burnt (Jhama) brick agg. 90 mm to 45 mm.,One Cubic Metre,880.0
With road roller/ hand roller.,One Square Metre,24.0
With F.P.S. bricks of class designation 75.,One Running Metre,194.0
With F.P.S. bricks of class designation 75.,One Running Metre,53.0
Scarifying metalled (water- bound) road surface.,One Square Metre,33.0
"Making bajri path including preparation of subgrade, S/L brick aggregate.",One Square Metre,191.0
Dry stone pitching 22.5 Cm thick including supply of stones.,One Square Metre,883.0
with FPS bricks with class designation 75.,One Square Metre,644.0
Bituminous portion.,One Cubic Metre,5032.0
Water bound macadam.,One Cubic Metre,3078.0
Cutting bajri paths and making good the same.,One Square Metre,284.0
RCC Standards post/ Struts/ rails/pales of mix 1: 1.5:3 with wooden plugs or 6 mm bar nibs wherever required.,One Cubic Metre,32891.0
Welded steel wire fabrick of required width rectangular mesh.,One Kilogram,79.0
S/F turn buckles and straining bolts for barbed wire fencing.,Each set,274.0
With G.I. barbed wire.,One Running Metre,14.0
With G.I. barbed wire.,One Running Metre,22.0
Supplying at site and fixing Angle iron post for fencing work .,One Kilogram,126.0
"Welded steel wire fabric fencing with posts of speci- fied material and of standard design.(cost of posts, welded steel wire fabric, painting, earth work in excavation and C.C. to be paid separately).",One Square Metre,66.0
Engraving letters in hard stone.,per cm height per letter,11.0
P/F 15 x 15 x 90 Cm boundary stone of hard stone with top 30 Cm chisel dressed.,Each,253.0
"P/F 15 cm dia at top, 20 cm at bottom and 90 cm high precast RCC 1 : 2 : 4 boundary stone.",Each,852.0
35 x 111 x 25 cm size.,Each,2877.0
50 x 152.52 x 25 cm size.,Each,5170.0
35 x 93.5 x 18 cm size.,Each,1925.0
Surface dressing on new surf- ace with paving of A-90/S-90 using 2.25 Kg bitumen per Sqm with 1.65 Cum of stone chipping 13.2 mm n/s.,One Square Metre,225.0
Surface dressing on new surface in two coats with bitumen of grade A-90/S-90.,One Square Metre,312.0
Surface dressing on old surface with hot bitumen of grade A-90/S-90.,One Square Metre,175.0
Using bitumen emulsion (min. 50 % bitumen content-RS grade conforming to IS :8837).,One Square Metre,198.0
Using bitumen emulsion (min. 50 % bitumen content-RS grade conforming to IS : 8837).,One Square Metre,125.0
On W.B.M. @ 0.75 Kg/Sqm.,One Square Metre,61.0
On bituminous surface @ 0.50 Kg/Sqm.,One Square Metre,48.0
On W.B.M / W.M.M. @ 0.4kg/sqm.,One Square Metre,13.0
On bituminous surface @ 0.25kg/sqm.,One Square Metre,9.0
On W.B.M / W.M.M. @ 0.4kg/sqm.,One Square Metre,21.0
On bituminous surface @ 0.25kg/sqm.,One Square Metre,14.0
With paving Asphalt 80/100 @ 70 grams per kg of asphalt.,One Square Metre,234.0
With paving Asphalt 60/70 with no solvent.,One Square Metre,245.0
With Refinery Modified Bitumen CRMB 55 conforming to IRC : SP : 53-1999.,One Square Metre,233.0
With paving Asphalt 80/100 @ 70 grams per kg of asphalt.,One Square Metre,281.0
With paving Asphalt 60/70 with no solvent.,One Square Metre,295.0
With Refinery Modified Bitumen CRMB 55 conforming to IRC : SP : 53-1999.,One Square Metre,280.0
2 Cm premix carpet surfacing with 2.4 Cum of stonechippings 11.2 mm size per 100 Sqm and bitumen emulsion.,One Square Metre,209.0
2.5Cm premix carpet surfacing with 3.0Cum of stonechippings 10 mm nominal size per 100 Sqm and bitumen emulsion.,One Square Metre,252.0
For 50 mm compacted thickness With paving asphalt 80/100 @ 50 kg/10 Sqm.,One Square Metre,506.0
For 75 mm compacted thickness With paving asphalt 80/100 @ 68 kg/10 Sqm.,One Square Metre,744.0
25 mm thick.,One Square Metre,854.0
25 mm thick.,One Square Metre,1366.0
With paving Asphalt 80/100 @ 70 grams per kg of asphalt.,One Square Metre,354.0
With paving Asphalt 60/70.,One Square Metre,377.0
With Refinary Modified bitumen CRMB 55 Conforming to IRC : SP 53-1999.,One Square Metre,352.0
With paving Asphalt 80/100 @ 70 grams/Kg of asphalt.,One Square Metre,532.0
With paving Asphalt 60/70 with no solvent.,One Square Metre,569.0
With Refinary Modified bitumen CRMB 55 Conforming to IRC : SP 53-1999.,One Square Metre,529.0
P/L seal coat of premixed fine aggregate (passing 2.36 mm and retained on 180 micron sieve) with bitumen using 128 Kg of grade 80/100 bitumen.,One Square Metre,89.0
P/L seal coat over prepared surface of road with bitumen heated in bitumen 80/100.,One Square Metre,131.0
C.C 1:2:4 in pavements laid to required slop and camber in panels etc.,One Cubic Metre,7994.0
Cement concrete prepared with batch mixing machine.,One Cubic Metre,10529.0
Extra for providing and mixing hard crete of approved quality,One Litre,56.0
P/L pre moukded joints filler in expansion joints.,Per cm depth per cm width  per m length,5.0
P/L bitumen hot sealing comp- ound in expansion joints.,Per cm depth per cm  width  per m  length,9.0
New work (Two or more coats).,One Square Metre,188.0
Old work (one or more coats).,One Square Metre,121.0
New work (Two or more coats).,One Square Metre,289.0
Old work (One or more coats).,One Square Metre,190.0
Making bell mouth opening/ entrance of size 100x50x50 Cm for drainage pipe under foot path i/c providing CC 1:3:6 for shape of bell mouth.,Each,3050.0
P/F Glow studs of size 100 x 20mm made of heavy duty body shall be moulded ASA/HIP/ ABS having electronically welded micro-prismatic lens Cat's Eye in accordance with ASTM D-280.,Each,206.0
Minimum thickness 15 cm.,One Cubic Metre,1514.0
P/F precast lime fly ash concrete blocks 1 : 2 : 3 : 6 i/c finishing with CM 1 : 3.,One Cubic Metre,13719.0
P/F concertina coil fencing with required dia. 610 mm (having 15 nos. round/ meter length) upto 3.0 m height of wall with existing angle iron 'Y' shaped with 9 horizontal R.B.T. stud tied with G.I. staples and G.I clips.,One Running Metre,376.0
50/ 100 mm average compacted thickness with bitumen of 60/70 grade @ 5% of total mix and lime filler @ 2% weight of aggregate).,One Cubic Metre,11130.0
50 to 100 mm average compacted thickness with bitumen of grade VG-30 @5% (percentage by weight of total mix) and lime filler @ 2% (percentage by weight of Aggregate) prepared in Drum Type Hot Mix Plant of 60-90 TPH capacity.,One Cubic Metre,11032.0
50/ 75 mm ave. compacted thickness with bitumen of 60/ 70 grade @ 3.5% by weight of total mix).,One Cubic Metre,8506.0
50 to 100 mm average compacted thickness with bitumen of grade VG-30 @3.50%(percentage by weight of total mix) prepared in Drum Type Hot Mix Plant of 60-90 TPH capacity.,One Cubic Metre,8413.0
40/50 mm compacted thickness with bitumen of 60/ 70 grade @ 5.5% by weight of total mix and lime filler @ 3% of weight of aggregate).,One Square Metre,278.0
25 mm compacted thickness with bitumen of grade VG-30 @5% (percentage by weight of total mix) and lime filler @ 2%(percentage by weight of Aggregate) prepared in Drum Type Hot Mix Plant of 60-90 TPH capacity.,One Square Metre,275.0
40/50 mm compacted thickness with bitumen grade VG-30 @ 5.5% by weight of total mix and lime filler @ 3% of weight of aggregate in Batch Type HMP of 100-120 TPH capacity.,One Cubic Metre,12126.0
40/50 mm compacted thickness with bitumen of grade VG-30 @ 5.5% by weight of total mix and lime filler @ 3% by weight of Aggregate and waste plastic additive@ 8% by weight of bitumen in Drum Type HMP of 60-90 TPH capacity.,One Cubic Metre,12709.0
40/50 mm compacted thickness with bitumen of grade PMB-40 @ 5.5% by weight of total mix and lime filler @ 3% by weight of Aggregate in Batch Type HMP of 100-120 TPH capacity.,One Cubic Metre,11204.0
40/50 mm compacted thickness with bitumen of grade CRMB-60 @5.5% by weight of total mix and lime filler @ 3% by weight of Aggregate in Batch Type HMP of 100-120 TPH capacity.,One Cubic Metre,10660.0
40/50 mm compacted thickness with bitumen of grade CRMB-60 @5.5% by weight of total mix and lime filler @ 3% by weight of Aggregate in Batch Type HMP of 100-120 TPH capacity.,One Cubic Metre,12027.0
40/50 mm compacted thickness with bitumen of grade VG-30 @5.5% by weight of total mix and lime filler @ 3% by weight of Aggregate and waste plastic additive@8% by weight of bitumen in Drum Type HMP of 60-90 TPH capacity.,One Cubic Metre,12609.0
40/50 mm compacted thickness with bitumen of grade PMB-40 @5.5% by weight of total mix and lime filler @ 3% by weight of Aggregate in Drum Type HMP of 60-90 TPH capacity.,One Cubic Metre,11105.0
40/50 mm compacted thickness with bitumen of grade CRMB-60 @5.5% by weight of total mix and lime filler @ 3% by weight of Aggregate in Drum Type HMP of 60-90 TPH capacity.,One Cubic Metre,10561.0
Mandatory/ Regulatory sign boards of 900 mm dia. with support as length of 3750 mm.,Each,7183.0
Cautionary/ warning sign boards of equilateral triangular shape.,Each,5560.0
Overhead informatory road signage.,One Square Metre,5880.0
"Providing rectro reflective regulatory sign board of 900mm dia. made out of 2 mm thick aluminium sheet, face to be fully covered with high intensity encapsulated lens type rectroreflective sheeting as approved by Engineer-in- charge as per IRC; 67: 2001, with required colours.",Each,8154.0
P/A 2.5 mm thick road marking strips (rectro reflective) of specified shade/ colour using hot thermoplastic material by fully/ semi automatic thermo- plastic paint applicator machine.,One Square Metre,748.0
P/L and making kerb channel 30 cm wide and 50 mm thick of CC 1:3:6 over 75 mm thick compacted bed of dry brick ballast of 40mm nominal size well rammed and consolidated and grouted with fine sand.,One Square Metre,558.0
P/L 75 mm thick compacted bed of dry brick aggregate of 40mm nominal size i/c grouting with jamuna sand.,One Square Metre,199.0
P/F post delineators (made of ABS body fitted with 2 Nos 100 mm dia.) reflective and reflectors are mounted on M.S pipe of 65 mm dia.,Each,904.0
All kind of soil.,Each,28.0
P/F at or near ground level factory made RCC pavement slab of M-30 grade of size 450x 450x 50 mm in footpath to the required level and line over a bed of 20mm ave CM 1: 3 C.sand.,One Square Metre,1601.0
"P/F 60 mm thick factory made C.C interlocking paver block of M-30 grade made by block making machine over and i/c 50 mm thick bed of C. sand, filling the joints.",One Square Metre,972.0
P/L at or near ground level factory made kerb stone of M-25 grade cement. P/L at or near ground level factory made kerb stone of M-25 grade CC approved shape/pattern,One Cubic Metre,10118.0
Made of G.I. of dia. 4 mm.,One Square Metre,1018.0
"Made of GI of dia. 4 mm, PVC cMade of GI of dia. 4 mm, PVC coated in required thickness/colour and shade.",One Square Metre,1067.0
P/F G.I. chain link fabric fencing of required width in mesh size 25 x 25 mm made of G.I. wire of dia. 3 mm i/c strengthening with 2 mm dia. wire.,One Square Metre,1149.0
S/S stone (for stone pitching) 22.5 cm thick at site.,One Cubic Metre,996.0
Dry stone pitching 22.5 cm thick laid in required profile.,One Square Metre,659.0
Moorum.,One Square Metre,76.0
Stone agg. 20 mm n size.,One Square Metre,175.0
Stone agg. 40 mm n size.,One Square Metre,172.0
"P/L C.C pavement of mix M-25 with ready mixed concrete from batching plant. concrete shall be laid and finished with screed board vibrator, vacuum dewatering process and finally finished by floating, brooming with wire brush etc complete.",One Cubic Metre,9824.0
Scarifying the existing bituminous road surface to a depth of 50 mm.,One Square Metre,7.0
With material conforming to Grade-I (size range 75 mm to 0.075 mm ) having CBR Value-30.,One Cubic Metre,2784.0
With material conforming to Grade-II (size range 53 mm to 0.075 mm ) having CBR Value-25.,One Cubic Metre,2925.0
With material conforming to Grade-III (size range 26.5 mm to 0.075 mm ) having CBR Value-20.,One Cubic Metre,2809.0
"P/L spreading and compacting stone aggregate to wet mix macadam (WMM) i/c premixing the material with water at OMC in mechanical mix plant, laying with mechanical paver finisher in sub- base / base course and compacting with vibratory roller of 8 to 10T.",One Cubic Metre,2914.0
"Dry lean cement concrete sub base with coarse and fine aggregate cement content 150 Kg/cum, with OMC, concrete strength 10 Mpa at 7 days, mixed in a batching plant laid with a mechanical paver, compacting with 8-10T vibratory roller.",One Cubic Metre,4149.0
"Taking out existing kerb stones of all types from footpath/ central verge,",One Running Metre,39.0
Taking out existing CC interlocking paver blocks from footpath/ central verge,One Square Metre,132.0
Laying old cement concrete interlocking paver blocks of any design/shape.,One Square Metre,403.0
"Laying at or near ground level old kerb stones of all types in position to the required line, level and curvature, jointed with cement mortar 1:3 (1 cement : 3 coarse sand)",One Metre,109.0
Area less than 0.50 sqm,One Square Metre,4746.0
"With granite stone of colour black, cherry/ruby red of area less than 0.50 sqm",One Square Metre,4951.0
"With granite stone of all colour except black, cherry/ruby red of area less than 0.50 sqm",One Square Metre,5272.0
P/L matt finished vitrified tile 100x100x16mm laid on 20mm base of CM 1:4,One Square Metre,2160.0
P/L matt finished vitrified tile 300x300x9.8mm laid on 20mm base of CM 1:4,One Square Metre,1456.0
P/L tactile tile - 300x300x9.8mm laid on 20mm base of CM 1:4,One Square Metre,2018.0
"60mm thick Cement concrete paver block of M-35 grade with approved colour, design & pattern",One Square Metre,1046.0
"80mm thick Cement concrete paver block of M-30 grade with approved colour, design & pattern.",One Square Metre,1092.0
P/F 10x10x7.50 cm Granite stone block - laid on 20mm CM 1:4 base,One Square Metre,2189.0
P/P in position 100mm thick factory made machine batched & machine mixed Precast RCC Rectangular Covers on drains of M-25 grade RCC work.,One Square Metre,3082.0
Providing & making Gabion structure with Mechanically Woven Double Twisted Hexagonal Shaped Wire mesh Gabion Boxes - filled with boulders of 200 mm.,One Cubic Metre,4178.0
Providing & making Gabion structure with Mechanically Woven Double Twisted Hexagonal Shaped Wire mesh Gabion Boxes - filled with boulders with least dimension of 200 mm.,One Cubic Metre,4569.0
"Providing & making Gabion structure with Mechanically Woven Double Twisted Hexagonal Shaped Wire mesh Gabion Boxes - filled with boulders with least dimension of 200 mm, as per drawing.",One Cubic Metre,4882.0
White vitreous china orissa WC pan size 580 x 440 mm,Each,6767.0
SS Orissa pattern WC pan size 585 x 480 mm,Each,11391.0
WC pan with white solid plastic seat and lid,Each,6516.0
WC pan with black solid plastic seat and lid,Each,6383.0
WC pan with white solid plastic seat and lid,Each,8007.0
"WC pan black solid plastic seat and lid, with white vitreous china cistern",Each,7874.0
One urinal with 5 lt PVC cistern,Each,6259.0
Range of 2 with 5 lt PVC cistern,Each,9612.0
Range of 3 with 10 lt PVC cistern,Each,13417.0
Range of 4 urinal basins with 10 lt PVC cistern,Each,18580.0
Single half stall with 5 lt PVC cistern,Each,12072.0
Range of 2 half stall with 5 lt PVC cistern,Each,18009.0
Range of 3 half stall with 10 lt PVC cistern,Each,22058.0
Range of 4 stall with 10 lt PVC cistern,Each,25969.0
Single squatting plate with 5 lt PVC cistern,Each,9256.0
Range of 2 squatting plates with 5 lt PVC cistern,Each,13476.0
Range of 3 squatting plates with 10 lt PVC cistern,Each,17702.0
Range of 4 squatting plate with 10 lt PVC cistern,Each,21203.0
White vitreous china Wash basin 630x450mm with a pair of 15mm CP brass pillar taps,Each,2649.0
White vitreous china Wash basin 630x450mm with a single 15mm CP brass pillar tap,Each,2226.0
White vitreous china Wash basin 550x400mm with a pair of 15mm CP brass pillar taps,Each,2302.0
White vitreous china Wash basin 550x400mm with a single 15mm CP brass pillar tap,Each,1879.0
White vitreous china angle back 600x480mm with single 15mm CP brass pillar tap,Each,2226.0
White vitreous china angle back 400x400mm with single 15mm CP brass pillar tap,Each,1757.0
White vitreous china Flat back wash basin 450x300mm,Each,1514.0
White vitreous china Surgeon type wash basin of 660x460mm,Each,3601.0
White vitreous china Surgeon type wash basin of 660x460mm,Each,2941.0
SS round basin 405x355mm with single 15 mm CP brass pillar tap,Each,3438.0
SS wash basin 530x345 mm with single 15 mm CP brass pillar tap,Each,4150.0
"P/F wash basin with C.I. brackets, 15 mm PTMT pillar cock, 32 mm PTMT waste coupling. White Vitreous China Flat back wash basin size 550x400 mm with single 15 mm PTMT pillar cock.",Each,1551.0
P/F white vitreous china pedestal for wash basin,Each,1683.0
White glazed fire clay sink 600x450x250mm,Each,3893.0
510x1040 bowl depth 250mm,Each,6946.0
510x1040 bowl depth 225mm,Each,7515.0
510x1040 bowl depth 200mm,Each,7159.0
400x915 bowl depth 178mm,Each,6917.0
610x510 bowl depth 200mm,Each,4941.0
610x460 bowl depth 200mm,Each,3874.0
470x420 bowl depth 178mm,Each,3407.0
450 x 300 x 150 mm.,Each,5021.0
600 x 450 x 200 mm.,Each,6586.0
White glazed fire clay drai- ning board 600x450x25mm,Each,1580.0
Long pattern WC 580mm,Each,1960.0
Orissa WC Pan 580x440mm,Each,3169.0
Orissa pattern WC pan 580 x 440 mm,Each,427.0
P/F pedstal type WC pan,Each,2785.0
Extra for using coloured pedestal type WC pan with low level instead of white vitreous china WC pan and cistern,Each,171.0
Providing and fixing 8 mm dia C.P. / S.S. Jet with flexible tube upto 1 metre long with S.S. triangular plate to Eureopean type W.C. of quality and make as approved by Engineer - in - charge.,Each,349.0
250 x 130 x 30 mm.,One Pair,245.0
250 x 125 x 25 mm.,One Pair,256.0
10 lt capacity - white,Each,1191.0
10 lt capacity - coloured,Each,1137.0
10 lt (full flush) capacity - white,Each,2244.0
10 lt (full flush) capacity - coloured,Each,2912.0
White solid plastic seat with lid,Each,685.0
Black solid plastic seat with lid,Each,553.0
Coloured (other than black & white) solid plastic seat with lid,Each,591.0
P/F GI inlet connection for flush pipe,Each,143.0
Providing and fixing CP Brass 32mm size Bottle Trap of approved quality & make and as per the direction of Engineer-in-charge.,Each,1035.0
P/F white vitreous china flat back or lipped urinal,Each,1649.0
P/F white vitreous china squatting plate urinal.,Each,4049.0
Flat back W/B 630 x 450 mm.,Each,1340.0
Flat back W/B 550 x 400 mm.,Each,993.0
Angle back wash basin 600 x 480 mm.,Each,1340.0
Angle back wash basin 400 x 400 mm.,Each,870.0
Flat back wash basin 450 x 300 mm.,Each,627.0
Surgeon type wash basin 660 x 460 mm.,Each,1816.0
White glazed fire clay sink of size 600x450x250 mm.,Each,2200.0
450 x 300 x 150 mm.,Each,2513.0
600 x 450 x 200 mm.,Each,4078.0
32 mm dia.,Each,104.0
40 mm dia.,Each,117.0
32 mm dia.,Each,120.0
40 mm dia.,Each,120.0
"P/F 100 mm SCI grating for gully, floor or Nahani trap",Each,53.0
P/F 25 mm dia mosquito proof coupling,Each,56.0
P/F 600 x 450 mm bevelled edge mirror .,Each,1608.0
Circular 450 mm dia.,Each,1479.0
Rectangular 453 x 357 mm.,Each,1362.0
Oval 450 x 350 mm,Each,1377.0
Rectangular 1500 x 450 mm.,Each,2093.0
P/F 600x120x5mm glass shelf,Each,1084.0
CP brass,Each,804.0
Vitreous china.,Each,546.0
SCI S&S,One Running Metre,1152.0
Centrifugally cast (spun) iron socketed pipe,One Running Metre,1181.0
Hubless centrifugally cast (spun) iron pipes epoxy coated inside & outside IS:15905,One Running Metre,1169.0
SCI S & S,One Running Metre,1045.0
Centrifugally cast (spun) iron socketed pipe,One Running Metre,1186.0
Hubless centrifugally cast (spun) iron pipes epoxy coated inside & outside IS:15905,One Running Metre,964.0
75 mm dia pipe,Each,168.0
100 mm dia pipe,Each,198.0
100 mm dia pipe,Each,363.0
75 mm dia pipe,Each,360.0
SCI S&S,Each,599.0
SCI S & S,Each,705.0
Hubless centrifugally cast (spun) iron epoxy coated inside & outside as per IS:15905,Each,567.0
SCI S & S as per IS: 1729.,Each,501.0
Sand cast iron S & S as per IS: 3989.,Each,523.0
Hubless centrifugally cast (spun) iron epoxy coated inside & outside as per IS:15905,Each,419.0
S.C.I S&S as per IS: 1729.,Each,470.0
Sand cast iron S & S as per IS: 3989.,Each,570.0
Hubless centrifugally cast (spun) iron pipes epoxy coated inside & outside as per IS:15905,Each,368.0
S.C.I S&S as per IS: 1729.,Each,376.0
SCI S&S as per IS: 3989.,Each,391.0
Hubless centrifugally cast (spun) iron pipes epoxy coated inside & outside as per IS:15905,Each,253.0
SCI S & S as per IS: 1729.,Each,584.0
SCI S & S as per IS: 3989.,Each,549.0
SCI S & S as per IS: 1729.,Each,490.0
SCI S & S as per IS: 3989.,Each,504.0
SCI S & S as per IS: 1729.,Each,1139.0
SCI S & S as per IS: 3989.,Each,1103.0
SCI S & S as per IS: 1729.,Each,843.0
SCI S & S as per IS: 3989.,Each,886.0
S.C.I S&S as per IS: 1729.,Each,940.0
S.C.I S&S as per IS: 3989.,Each,1075.0
Hubless centrifugally cast (spun) iron pipes epoxy coated inside & outside as per IS:15905,Each,761.0
S.C.I S&S as per IS: 1729.,Each,625.0
S.C.I S&S as per IS: 3989.,Each,803.0
Hubless centrifugally cast (spun) iron pipes epoxy coated inside & outside as per IS:15905,Each,419.0
S.C.I S&S as per IS: 1729.,Each,727.0
SCI S & S as per IS: 1729.,Each,926.0
S.C.I S&S as per IS: 1729.,Each,630.0
SCI S & S as per IS: 3989.,Each,665.0
SCI S & S as per IS: 1729.,Each,627.0
SCI S & S as per IS: 3989.,Each,812.0
Hubless centrifugally cast (spun) iron epoxy coated inside & outside as per IS:15905,Each,581.0
SCI S & S as per IS: 1729.,Each,504.0
SCI S & S as per IS: 3989.,Each,561.0
Hubless centrifugally cast (spun) iron epoxy coated inside & outside as per IS:15905,Each,338.0
SCI S & S as per IS: 1729.,Each,1153.0
SCI S & S as per IS: 3989.,Each,1601.0
SCI S & S as per IS: 1729.,Each,954.0
SCI S & S as per IS: 1729.,Each,1402.0
Hubless centrifugally cast (spun) iron epoxy coated inside & outside as per IS:15905,Each,607.0
SCI S & S as per IS: 1729.,Each,911.0
SCI S & S as per IS: 3989.,Each,1146.0
SCI S & S as per IS: 1729.,Each,812.0
SCI S & S as per IS: 3989.,Each,1032.0
Hubless centrifugally cast (spun) iron epoxy coated inside & outside as per IS:15905,Each,552.0
SCI S & S as per IS: 1729.,Each,883.0
SCI S & S as per IS: 3989.,Each,990.0
Hubless centrifugally cast (spun) iron epoxy coated inside & outside as per IS:15905,Each,1106.0
SCI S & S as per IS: 1729.,Each,661.0
SCI S & S as per IS: 3989.,Each,803.0
SCI S & S as per IS: 1729.,Each,698.0
SCI S & S as per IS: 3989.,Each,748.0
Hubless centrifugally cast (spun) iron epoxy coated inside & outside as per IS:15905,Each,645.0
SCI S & S as per IS: 1729.,Each,575.0
SCI S & S as per IS: 3989.,Each,575.0
Hubless centrifugally cast (spun) iron epoxy coated inside & outside as per IS:15905,Each,402.0
SCI S & S as per IS: 3989.,Each,1011.0
SCI S & S as per IS: 3989.,Each,1274.0
SCI S & S as per IS: 1729.,Each,805.0
SCI S & S as per IS: 3989.,Each,997.0
Hubless centrifugally cast (spun) iron epoxy coated inside & outside as per IS:15905,Each,658.0
With 75 mm dia. pipe.,Each,376.0
With 100 mm dia. pipe.,Each,604.0
With 75 mm dia. pipe.,Each,527.0
With 100 mm dia. pipe.,Each,648.0
With 75 mm dia. pipe.,Each,620.0
With 100 mm dia. pipe.,Each,769.0
With 100 mm dia pipe,Each,547.0
With 75 mm dia pipe,Each,455.0
With 75 mm dia. pipe.,Each,419.0
With 75 mm dia. pipe.,Each,586.0
With 100 mm dia. pipe.,Each,735.0
With 100 mm dia,Each,633.0
With 75 mm dia,Each,466.0
SCI S & S as per IS: 1729.,Each,783.0
SCI S & S as per IS: 3989.,Each,684.0
SCI S & S as per IS: 1729.,Each,501.0
SCI S & S as per IS: 1729.,Each,537.0
S.C.I S & S as per IS: 1729.,Each,442.0
SCI S & S as per IS: 3989.,Each,506.0
Hubless centrifugally cast (spun) iron epoxy coated inside & outside as per IS:15905,Each,428.0
SCI S & S as per IS: 1729.,Each,341.0
SCI S & S as per IS: 3989.,Each,405.0
SCI S & S as per IS: 1729.,Each,463.0
SCI S & S as per IS: 1729.,Each,513.0
Sand cast iron S&S as per IS - 1729,Each,305.0
SCI S & S as per IS: 1729.,Each,362.0
SS 304 grade coupling with EPDM rubber gasket,Each,432.0
SS 304 grade coupling with EPDM rubber gasket,Each,389.0
100 mm.,Each,623.0
75 mm .,Each,526.0
50 mm.,Each,423.0
100 mm.,Each,140.0
75 mm.,Each,90.0
50 mm.,Each,82.0
SCI S & S,Each,1997.0
SCI S & S,Each,1684.0
Hubless centrifugally cast (spun) iron epoxy coated inside & outside as per IS:15905,Each,855.0
SCI S & S,Each,1975.0
Sand Cast Iron S&S as per IS- 1729.,Each,1558.0
Hubless centrifugally cast (spun) iron epoxy coated inside & outside as per IS:15905,Each,591.0
100 mm dia.,One Running Metre,713.0
75 mm dia.,One Running Metre,513.0
50 mm dia.,One Running Metre,336.0
Painting CI cistern for with bitumastic paint new work .,Each,1021.0
Re-painting CI cistern with bitumastic,Each,674.0
Repainting CI cistern with synthetic enamel paint on the outside surface of cistern,Each,293.0
100 mm dia pipe.,One Metre,83.0
75 mm dia pipe.,One Metre,63.0
100 mm diameter pipe.,One Metre,40.0
75 mm diameter pipe.,One Metre,30.0
Repainting bath tub of size 1700 x 730 x 430 mm with enamel paint.,Each,804.0
White vitreous china dual purpose WC pan with white solid plastic seat and lid.,Each,11848.0
Waste coupling 31 mmof 79 mm length and 62mm breadth wei- ghing not less than 45 gms.,Each,115.0
Waste coupling 38 mmof 83 mm length and 77mm breadth wei- ghing not less than 60 gms.,Each,122.0
